run_id,structure,seed,pipe_radius,samples,sample_dt,t_analyzed,tau_shape,tau_shape_cutoff_time,tau_int_r,tau_int_r_cutoff_time,d_cm,d_perp,tau_rad_diagnostic,msd_cm_fit_r2,msd_perp_fit_r2,msd_fit_start_time,msd_fit_end_time
ts_r36_g1_s101,g1,101,36.000000,800,10.000000,3990.000000,17.237240,60.000000,606.422393,1390.000000,3.16629113e-03,1.80676795e-03,717302.960912,0.984747,0.927987,210.000000,800.000000
ts_r36_g1_s102,g1,102,36.000000,800,10.000000,3990.000000,19.105806,60.000000,229.600182,470.000000,4.23858829e-03,2.18749477e-03,592458.558915,0.999167,0.985875,210.000000,800.000000
ts_r36_g1_s103,g1,103,36.000000,800,10.000000,3990.000000,22.914295,80.000000,557.598215,1060.000000,2.81086000e-03,1.89834970e-03,682698.241957,0.981644,0.926366,210.000000,800.000000
ts_r36_g1_s104,g1,104,36.000000,800,10.000000,3990.000000,16.932025,80.000000,609.334940,1590.000000,8.22351978e-03,5.28563652e-03,245192.796591,0.996290,0.995849,210.000000,800.000000
ts_r36_g1_s105,g1,105,36.000000,800,10.000000,3990.000000,14.942375,50.000000,693.397614,1470.000000,4.49865989e-03,4.97467358e-03,260519.606042,0.994273,0.995988,210.000000,800.000000
ts_r36_g2_s101,g2,101,36.000000,800,10.000000,3990.000000,55.073898,230.000000,257.653750,630.000000,1.83378977e-03,7.43650881e-04,1742753.264984,0.983104,0.980162,210.000000,800.000000
ts_r36_g2_s102,g2,102,36.000000,800,10.000000,3990.000000,24.314188,80.000000,774.391173,1330.000000,1.84986354e-03,2.30800331e-03,561524.324245,0.998985,0.999667,210.000000,800.000000
ts_r36_g2_s103,g2,103,36.000000,800,10.000000,3990.000000,31.236299,100.000000,638.466107,1240.000000,2.39112386e-03,2.41809453e-03,535959.195438,0.992687,0.998420,210.000000,800.000000
ts_r36_g2_s104,g2,104,36.000000,800,10.000000,3990.000000,31.951041,80.000000,343.976014,950.000000,1.30627292e-03,1.30652194e-03,991946.599731,0.997549,0.991099,210.000000,800.000000
ts_r36_g2_s105,g2,105,36.000000,800,10.000000,3990.000000,35.498403,100.000000,535.876374,1390.000000,1.84958574e-03,1.51350000e-03,856293.359692,0.974000,0.941906,210.000000,800.000000
ts_r36_g3_s101,g3,101,36.000000,800,10.000000,3990.000000,46.720389,210.000000,617.322577,1130.000000,1.65643243e-03,2.08650906e-03,621133.175150,0.992366,0.988842,210.000000,800.000000
ts_r36_g3_s102,g3,102,36.000000,800,10.000000,3990.000000,58.244131,190.000000,647.886492,1180.000000,6.15319916e-04,8.61468018e-04,1504408.722738,0.888126,0.942157,210.000000,800.000000
ts_r36_g3_s103,g3,103,36.000000,800,10.000000,3990.000000,41.176292,220.000000,640.366581,1400.000000,1.84019929e-03,8.08965701e-04,1602045.671373,0.998573,0.997316,210.000000,800.000000
ts_r36_g3_s104,g3,104,36.000000,800,10.000000,3990.000000,52.597755,160.000000,758.975062,1370.000000,7.95680687e-04,3.22290173e-04,4021220.967361,0.981500,0.957465,210.000000,800.000000
ts_r36_g3_s105,g3,105,36.000000,800,10.000000,3990.000000,63.691936,310.000000,331.316612,1080.000000,7.78397012e-04,6.49813800e-04,1994417.476509,0.990810,0.996390,210.000000,800.000000
ts_r36_g4_s101,g4,101,36.000000,800,10.000000,3990.000000,173.351031,700.000000,350.033070,680.000000,8.31508972e-04,9.39524727e-04,1379420.852051,0.999472,0.998149,210.000000,800.000000
ts_r36_g4_s102,g4,102,36.000000,800,10.000000,3990.000000,46.268136,170.000000,627.826272,1080.000000,8.41786583e-04,9.69093105e-04,1337332.804012,0.992493,0.997554,210.000000,800.000000
ts_r36_g4_s103,g4,103,36.000000,800,10.000000,3990.000000,39.639382,110.000000,369.276631,700.000000,1.35971070e-03,1.36243599e-03,951237.348638,0.998898,0.994889,210.000000,800.000000
ts_r36_g4_s104,g4,104,36.000000,800,10.000000,3990.000000,97.506116,350.000000,168.833311,310.000000,9.12588000e-04,4.46346147e-04,2903576.090921,0.999713,0.979172,210.000000,800.000000
ts_r36_g4_s105,g4,105,36.000000,800,10.000000,3990.000000,51.031576,210.000000,449.372608,1070.000000,7.40693163e-04,2.97373192e-04,4358160.163523,0.998426,0.879280,210.000000,800.000000
