run_id,kind,stage,pipe_radius,structure,g,seed,steps
ts_r36_g1_s102,gel,timescale,36.0,g1,0.0,102,1600000
ts_r36_g1_s104,gel,timescale,36.0,g1,0.0,104,1600000
ts_r36_g2_s101,gel,timescale,36.0,g2,0.0,101,1600000
ts_r36_g2_s103,gel,timescale,36.0,g2,0.0,103,1600000
ts_r36_g2_s105,gel,timescale,36.0,g2,0.0,105,1600000
ts_r36_g3_s102,gel,timescale,36.0,g3,0.0,102,1600000
ts_r36_g3_s104,gel,timescale,36.0,g3,0.0,104,1600000
ts_r36_g4_s101,gel,timescale,36.0,g4,0.0,101,1600000
ts_r36_g4_s103,gel,timescale,36.0,g4,0.0,103,1600000
ts_r36_g4_s105,gel,timescale,36.0,g4,0.0,105,1600000
